customer_id,full_name,email,address,city,state,timestamp
25001,Customer 25001,customer25001@example.com,9105 Maple Lane,Charlotte,NC,2025-02-20T14:14:28.745-07:00
25002,Customer 25002,customer25002@example.com,5411 Main St,Atlanta,WA,2025-02-20T14:14:28.745-07:00
25003,Customer 25003,customer25003@example.com,9768 1st Ave,Charlotte,NY,2025-02-20T14:14:28.745-07:00
25004,Customer 25004,customer25004@example.com,1197 Pine Rd,Charlotte,TX,2025-02-20T14:14:28.745-07:00
25005,Customer 25005,customer25005@example.com,6829 Oak Ave,Chicago,IL,2025-02-20T14:14:28.745-07:00
25006,Customer 25006,customer25006@example.com,123 Pine Rd,New York,IL,2025-02-20T14:14:28.745-07:00
25007,Customer 25007,customer25007@example.com,8790 Main St,Los Angeles,FL,2025-02-20T14:14:28.745-07:00
25008,Customer 25008,customer25008@example.com,2730 Oak Ave,Atlanta,NY,2025-02-20T14:14:28.745-07:00
25009,Customer 25009,customer25009@example.com,8060 Maple Lane,Los Angeles,WA,2025-02-20T14:14:28.745-07:00
25010,Customer 25010,customer25010@example.com,7457 Main St,Chicago,MA,2025-02-20T14:14:28.745-07:00
25011,Customer 25011,customer25011@example.com,7836 Main St,New York,GA,2025-02-20T14:14:28.745-07:00
25012,Customer 25012,customer25012@example.com,5149 Pine Rd,Atlanta,FL,2025-02-20T14:14:28.745-07:00
25013,Customer 25013,customer25013@example.com,1935 Maple Lane,Miami,NY,2025-02-20T14:14:28.745-07:00
25014,Customer 25014,customer25014@example.com,6932 Maple Lane,Los Angeles,GA,2025-02-20T14:14:28.745-07:00
25015,Customer 25015,customer25015@example.com,4015 Maple Lane,Cleveland,CA,2025-02-20T14:14:28.745-07:00
25016,Customer 25016,customer25016@example.com,296 Maple Lane,Los Angeles,MA,2025-02-20T14:14:28.745-07:00
25017,Customer 25017,customer25017@example.com,7092 Maple Lane,Cleveland,WA,2025-02-20T14:14:28.745-07:00
25018,Customer 25018,customer25018@example.com,7857 1st Ave,Houston,TX,2025-02-20T14:14:28.745-07:00
25019,Customer 25019,customer25019@example.com,2610 Maple Lane,Atlanta,WA,2025-02-20T14:14:28.745-07:00
25020,Customer 25020,customer25020@example.com,6123 1st Ave,Seattle,CA,2025-02-20T14:14:28.745-07:00
25021,Customer 25021,customer25021@example.com,3149 Oak Ave,Chicago,MA,2025-02-20T14:14:28.745-07:00
25022,Customer 25022,customer25022@example.com,1695 Maple Lane,Charlotte,NC,2025-02-20T14:14:28.745-07:00
25023,Customer 25023,customer25023@example.com,1251 Pine Rd,Chicago,GA,2025-02-20T14:14:28.745-07:00
25024,Customer 25024,customer25024@example.com,611 Pine Rd,Charlotte,GA,2025-02-20T14:14:28.745-07:00
25025,Customer 25025,customer25025@example.com,4597 Main St,Charlotte,NC,2025-02-20T14:14:28.745-07:00
25026,Customer 25026,customer25026@example.com,2626 Pine Rd,Seattle,OH,2025-02-20T14:14:28.745-07:00
25027,Customer 25027,customer25027@example.com,7801 1st Ave,Chicago,NC,2025-02-20T14:14:28.745-07:00
25028,Customer 25028,customer25028@example.com,2370 Main St,Chicago,FL,2025-02-20T14:14:28.745-07:00
25029,Customer 25029,customer25029@example.com,629 Pine Rd,Seattle,TX,2025-02-20T14:14:28.745-07:00
25030,Customer 25030,customer25030@example.com,7838 Pine Rd,Cleveland,FL,2025-02-20T14:14:28.745-07:00
25031,Customer 25031,customer25031@example.com,4296 1st Ave,Boston,WA,2025-02-20T14:14:28.745-07:00
25032,Customer 25032,customer25032@example.com,9045 Pine Rd,Atlanta,WA,2025-02-20T14:14:28.745-07:00
25033,Customer 25033,customer25033@example.com,5839 Main St,Los Angeles,MA,2025-02-20T14:14:28.745-07:00
25034,Customer 25034,customer25034@example.com,1927 Oak Ave,New York,MA,2025-02-20T14:14:28.745-07:00
25035,Customer 25035,customer25035@example.com,4286 Main St,New York,WA,2025-02-20T14:14:28.745-07:00
25036,Customer 25036,customer25036@example.com,1226 Main St,Los Angeles,NY,2025-02-20T14:14:28.745-07:00
25037,Customer 25037,customer25037@example.com,9967 Maple Lane,New York,WA,2025-02-20T14:14:28.745-07:00
25038,Customer 25038,customer25038@example.com,9973 Maple Lane,Charlotte,IL,2025-02-20T14:14:28.745-07:00
25039,Customer 25039,customer25039@example.com,6390 Pine Rd,Chicago,IL,2025-02-20T14:14:28.745-07:00
25040,Customer 25040,customer25040@example.com,4256 Main St,Houston,OH,2025-02-20T14:14:28.745-07:00
25041,Customer 25041,customer25041@example.com,1912 Oak Ave,Chicago,GA,2025-02-20T14:14:28.745-07:00
25042,Customer 25042,customer25042@example.com,1477 Maple Lane,Charlotte,NY,2025-02-20T14:14:28.745-07:00
25043,Customer 25043,customer25043@example.com,9612 1st Ave,Chicago,WA,2025-02-20T14:14:28.745-07:00
25044,Customer 25044,customer25044@example.com,600 Oak Ave,Seattle,NC,2025-02-20T14:14:28.745-07:00
25045,Customer 25045,customer25045@example.com,5331 Maple Lane,New York,TX,2025-02-20T14:14:28.745-07:00
25046,Customer 25046,customer25046@example.com,8673 Oak Ave,Seattle,WA,2025-02-20T14:14:28.745-07:00
25047,Customer 25047,customer25047@example.com,5384 Maple Lane,Chicago,NY,2025-02-20T14:14:28.745-07:00
25048,Customer 25048,customer25048@example.com,5702 Maple Lane,Charlotte,CA,2025-02-20T14:14:28.745-07:00
25049,Customer 25049,customer25049@example.com,4696 Maple Lane,Miami,IL,2025-02-20T14:14:28.745-07:00
25050,Customer 25050,customer25050@example.com,7476 1st Ave,Miami,TX,2025-02-20T14:14:28.745-07:00
25051,Customer 25051,customer25051@example.com,1235 Maple Lane,Houston,FL,2025-02-20T14:14:28.745-07:00
25052,Customer 25052,customer25052@example.com,9844 Main St,Seattle,GA,2025-02-20T14:14:28.745-07:00
25053,Customer 25053,customer25053@example.com,9825 Maple Lane,Seattle,WA,2025-02-20T14:14:28.745-07:00
25054,Customer 25054,customer25054@example.com,5482 1st Ave,New York,TX,2025-02-20T14:14:28.745-07:00
25055,Customer 25055,customer25055@example.com,1756 Pine Rd,Atlanta,OH,2025-02-20T14:14:28.745-07:00
25056,Customer 25056,customer25056@example.com,1108 Main St,Seattle,IL,2025-02-20T14:14:28.745-07:00
25057,Customer 25057,customer25057@example.com,3353 Main St,Houston,OH,2025-02-20T14:14:28.745-07:00
25058,Customer 25058,customer25058@example.com,4441 Maple Lane,Cleveland,NY,2025-02-20T14:14:28.745-07:00
25059,Customer 25059,customer25059@example.com,222 Maple Lane,New York,MA,2025-02-20T14:14:28.745-07:00
25060,Customer 25060,customer25060@example.com,5924 Oak Ave,Seattle,NC,2025-02-20T14:14:28.745-07:00
